,PC1,PC2,PC3,Distillery,Cluster
0,-0.6556565531616956,1.2056463348705062,0.16634384460075494,Aberfeldy,3
1,-2.312631019231078,3.7479878061768885,-1.3669185798429604,Aberlour,3
2,-1.602152881785968,-0.6640822460429089,0.29720526407388353,AnCnoc,0
3,5.413632782006743,0.24487464874705608,-1.2101422365902186,Ardbeg,1
4,0.12164921828488497,0.41279273439374276,0.3044621295070101,Ardmore,2
5,0.09941062199054104,-1.39661333144363,1.2024541981930807,ArranIsleOf,0
6,-2.710515004825483,-1.8655493914855852,-1.1176983798531426,Auchentoshan,0
7,-1.1221063245571916,1.2209908982422109,1.3066309409919477,Auchroisk,3
8,-0.8619117092457841,-0.9953237118522779,0.4928096521060646,Aultmore,0
9,0.9981872419432966,-0.8739754336321609,0.2135351670409172,Balblair,2
10,0.4377074748614147,2.3745072580513966,2.950181241522191,Balmenach,3
11,-0.8779635413040089,1.0821796997516615,-0.9870215065849504,Belvenie,3
12,0.15971270070920016,1.3968172069622726,-0.9346098147874538,BenNevis,3
13,-1.1644440340128666,-0.34706333430758285,-1.9256617481065332,Benriach,0
14,-0.8930724054452914,1.9529171805255048,-0.4746900786111166,Benrinnes,3
15,-0.5295265963961192,0.9478355117720706,-0.8390680566289342,Benromach,3
16,-1.1282174446212905,-2.0211516546898998,-0.7967349659852293,Bladnoch,0
17,-0.29196771052062964,1.0345892853706495,-0.5575759527749133,BlairAthol,3
18,1.2254117146951182,0.1603087900511662,-0.2932551923574036,Bowmore,2
19,0.49512219104248856,0.287588650345547,-1.699786514245689,Bruichladdich,2
20,-1.0111579064850833,-1.223744603058705,-0.6459623815920038,Bunnahabhain,0
21,4.87452329015275,-0.41635989468667267,-0.9721650532825462,Caol Ila,1
22,-1.4603147638213136,-1.1962076425585315,0.308947923595866,Cardhu,0
23,4.668355575717131,-0.6474462723218783,-0.6676285759331411,Clynelish,1
24,-0.10225530810640981,0.2076156266428533,-1.0830753146896153,Craigallechie,2
25,0.1849845009445397,-1.0954785238910547,0.15116003435757128,Craigganmore,2
26,0.7677298790284702,2.274765220129553,-0.03983409397271789,Dailuaine,3
27,0.7112544106070532,1.5061899860804389,-0.9705463106089748,Dalmore,3
28,-0.45987319422925016,-0.35099051817554405,-0.618740818521842,Dalwhinnie,0
29,-0.9466104641397973,0.5877769677615609,-0.27853900270201243,Deanston,3
30,-0.34166741379625026,-1.9633047427874326,0.8383738416235574,Dufftown,0
